state,state_name,page_type,tier,name,population,latitude,longitude,url_slug,include_reason
CT,Connecticut,city,Core,Meriden,59988,41.53815,-72.80704,/{segment}/ct/meriden/,pop>=50k
CT,Connecticut,city,Core,Hamden,59847,41.39593,-72.89677,/{segment}/ct/hamden/,pop>=50k
CT,Connecticut,city,Core,Fairfield,59052,41.14121,-73.26373,/{segment}/ct/fairfield/,pop>=50k
CT,Connecticut,city,Core,West Haven,54927,41.27065,-72.94705,/{segment}/ct/west-haven/,pop>=50k
CT,Connecticut,city,Core,Milford,52759,41.22232,-73.0565,/{segment}/ct/milford/,pop>=50k
CT,Connecticut,city,Core,Stratford,51384,41.18454,-73.13317,/{segment}/ct/stratford/,pop>=50k
CT,Connecticut,city,Core,City of Milford (balance),51271,41.22374,-73.06164,/{segment}/ct/city-of-milford-(balance)/,pop>=50k
CT,Connecticut,city,Core,East Hartford,51252,41.78232,-72.61203,/{segment}/ct/east-hartford/,pop>=50k
CT,Connecticut,city,Extended,Middletown,46756,41.56232,-72.65065,/{segment}/ct/middletown/,tier1-corridor-state
CT,Connecticut,city,Extended,Enfield,45212,41.97621,-72.59176,/{segment}/ct/enfield/,tier1-corridor-state
CT,Connecticut,city,Extended,Shelton,41296,41.31649,-73.09316,/{segment}/ct/shelton/,tier1-corridor-state
CT,Connecticut,city,Extended,Norwich,39899,41.52426,-72.07591,/{segment}/ct/norwich/,tier1-corridor-state
CT,Connecticut,city,Extended,Trumbull,36018,41.24287,-73.20067,/{segment}/ct/trumbull/,tier1-corridor-state
CT,Connecticut,city,Extended,West Torrington,36000,41.81843,-73.14372,/{segment}/ct/west-torrington/,tier1-corridor-state
CT,Connecticut,city,Extended,Torrington,34906,41.80065,-73.12122,/{segment}/ct/torrington/,tier1-corridor-state
CT,Connecticut,city,Extended,Glastonbury,31876,41.71232,-72.60815,/{segment}/ct/glastonbury/,tier1-corridor-state
CT,Connecticut,city,Extended,Naugatuck,31538,41.48593,-73.05066,/{segment}/ct/naugatuck/,tier1-corridor-state
CT,Connecticut,city,Extended,Manchester,30577,41.77593,-72.52148,/{segment}/ct/manchester/,tier1-corridor-state
CT,Connecticut,city,Extended,Newington,30562,41.69788,-72.72371,/{segment}/ct/newington/,tier1-corridor-state
CT,Connecticut,city,Extended,Cheshire,29443,41.49899,-72.90066,/{segment}/ct/cheshire/,tier1-corridor-state
CT,Connecticut,city,Extended,Branford,29438,41.27954,-72.8151,/{segment}/ct/branford/,tier1-corridor-state
CT,Connecticut,city,Extended,East Haven,29257,41.27621,-72.86843,/{segment}/ct/east-haven/,tier1-corridor-state
CT,Connecticut,city,Extended,Windsor,28778,41.8526,-72.6437,/{segment}/ct/windsor/,tier1-corridor-state
CT,Connecticut,city,Extended,New London,27179,41.35565,-72.09952,/{segment}/ct/new-london/,tier1-corridor-state
CT,Connecticut,city,Extended,Wethersfield,26668,41.71427,-72.65259,/{segment}/ct/wethersfield/,tier1-corridor-state
CT,Connecticut,city,Extended,Mansfield City,26439,41.76593,-72.23369,/{segment}/ct/mansfield-city/,tier1-corridor-state
CT,Connecticut,city,Extended,Westport,26391,41.14149,-73.3579,/{segment}/ct/westport/,tier1-corridor-state
CT,Connecticut,city,Extended,Farmington,25000,41.71982,-72.83204,/{segment}/ct/farmington/,tier1-corridor-state
CT,Connecticut,corridor,Extended,I-84 (Connecticut),,,,/{segment}/corridors/i-84/ct/,tier2-freight-corridor; route-page-only
CT,Connecticut,corridor,Extended,I-91 (Connecticut),,,,/{segment}/corridors/i-91/ct/,tier2-freight-corridor; route-page-only
CT,Connecticut,corridor,Core,I-95 (Connecticut),,,,/{segment}/corridors/i-95/ct/,tier1-freight-corridor; full-exit-coverage
DC,District of Columbia,city,Core,Washington,689545,38.89511,-77.03637,/{segment}/dc/washington/,pop>=50k;top10-in-state
DC,District of Columbia,city,Extended,Shaw,17639,38.91206,-77.02137,/{segment}/dc/shaw/,top10-in-state
DC,District of Columbia,city,Extended,Adams Morgan,15830,38.9215,-77.0422,/{segment}/dc/adams-morgan/,top10-in-state
DC,District of Columbia,corridor,Core,I-95 (District of Columbia),,,,/{segment}/corridors/i-95/dc/,tier1-freight-corridor; full-exit-coverage
DE,Delaware,city,Core,Wilmington,70898,39.74595,-75.54659,/{segment}/de/wilmington/,pop>=50k;top10-in-state
DE,Delaware,city,Extended,Dover,39403,39.15817,-75.52437,/{segment}/de/dover/,top10-in-state
DE,Delaware,city,Extended,Newark,33817,39.68372,-75.74966,/{segment}/de/newark/,top10-in-state
DE,Delaware,city,Extended,Middletown,20372,39.44956,-75.71632,/{segment}/de/middletown/,top10-in-state
DE,Delaware,city,Extended,Bear,19371,39.62928,-75.65826,/{segment}/de/bear/,top10-in-state
DE,Delaware,corridor,Core,I-95 (Delaware),,,,/{segment}/corridors/i-95/de/,tier1-freight-corridor; full-exit-coverage
FL,Florida,city,Core,Jacksonville,1009833,30.33218,-81.65565,/{segment}/fl/jacksonville/,pop>=50k;top10-in-state
FL,Florida,city,Core,Miami,487014,25.77427,-80.19366,/{segment}/fl/miami/,pop>=50k;top10-in-state
FL,Florida,city,Core,Tampa,414547,27.94752,-82.45843,/{segment}/fl/tampa/,pop>=50k;top10-in-state
FL,Florida,city,Core,Orlando,334854,28.53834,-81.37924,/{segment}/fl/orlando/,pop>=50k;top10-in-state
FL,Florida,city,Core,St. Petersburg,257083,27.77086,-82.67927,/{segment}/fl/st-petersburg/,pop>=50k;top10-in-state
FL,Florida,city,Core,Hialeah,237069,25.8576,-80.27811,/{segment}/fl/hialeah/,pop>=50k;top10-in-state
FL,Florida,city,Core,Tallahassee,201731,30.43826,-84.28073,/{segment}/fl/tallahassee/,pop>=50k;top10-in-state
FL,Florida,city,Core,Fort Lauderdale,183146,26.12231,-80.14338,/{segment}/fl/fort-lauderdale/,pop>=50k;top10-in-state
FL,Florida,city,Core,Cape Coral,175229,26.56285,-81.94953,/{segment}/fl/cape-coral/,pop>=50k;top10-in-state
FL,Florida,city,Core,Pembroke Pines,166611,26.00315,-80.22394,/{segment}/fl/pembroke-pines/,pop>=50k;top10-in-state
FL,Florida,city,Core,Port Saint Lucie,164603,27.29393,-80.35033,/{segment}/fl/port-saint-lucie/,pop>=50k
FL,Florida,city,Core,Hollywood,149728,26.0112,-80.14949,/{segment}/fl/hollywood/,pop>=50k
FL,Florida,city,Core,Gainesville,145214,29.65163,-82.32483,/{segment}/fl/gainesville/,pop>=50k
FL,Florida,city,Core,Miramar,137132,25.98731,-80.23227,/{segment}/fl/miramar/,pop>=50k
FL,Florida,city,Core,Coral Springs,129485,26.27119,-80.2706,/{segment}/fl/coral-springs/,pop>=50k
FL,Florida,city,Core,West Palm Beach,120932,26.71534,-80.05337,/{segment}/fl/west-palm-beach/,pop>=50k
FL,Florida,city,Core,Palm Bay,119760,28.03446,-80.58866,/{segment}/fl/palm-bay/,pop>=50k
FL,Florida,city,Core,Clearwater,117292,27.96585,-82.8001,/{segment}/fl/clearwater/,pop>=50k
FL,Florida,city,Core,Miami Gardens,113187,25.94204,-80.2456,/{segment}/fl/miami-gardens/,pop>=50k
FL,Florida,city,Core,Pompano Beach,107762,26.23786,-80.12477,/{segment}/fl/pompano-beach/,pop>=50k
FL,Florida,city,Core,Lakeland,104401,28.03947,-81.9498,/{segment}/fl/lakeland/,pop>=50k
FL,Florida,city,Core,Brandon,103483,27.9378,-82.28592,/{segment}/fl/brandon/,pop>=50k
FL,Florida,city,Core,Davie,100882,26.06287,-80.2331,/{segment}/fl/davie/,pop>=50k
FL,Florida,city,Core,Spring Hill,98621,28.47688,-82.52546,/{segment}/fl/spring-hill/,pop>=50k
FL,Florida,city,Core,Boca Raton,93235,26.35869,-80.0831,/{segment}/fl/boca-raton/,pop>=50k
FL,Florida,city,Core,Plantation,92560,26.13421,-80.23184,/{segment}/fl/plantation/,pop>=50k
FL,Florida,city,Core,Miami Beach,92312,25.79065,-80.13005,/{segment}/fl/miami-beach/,pop>=50k
FL,Florida,city,Core,Deltona,88474,28.90054,-81.26367,/{segment}/fl/deltona/,pop>=50k
FL,Florida,city,Core,Lehigh Acres,86784,26.62535,-81.6248,/{segment}/fl/lehigh-acres/,pop>=50k
FL,Florida,city,Core,Melbourne,84678,28.08363,-80.60811,/{segment}/fl/melbourne/,pop>=50k
FL,Florida,city,Core,Sunrise,84439,26.13397,-80.1131,/{segment}/fl/sunrise/,pop>=50k
FL,Florida,city,Core,Palm Coast,82893,29.58497,-81.20784,/{segment}/fl/palm-coast/,pop>=50k
FL,Florida,city,Core,Largo,81000,27.90979,-82.78842,/{segment}/fl/largo/,pop>=50k
FL,Florida,city,Core,Homestead,80737,25.46872,-80.47756,/{segment}/fl/homestead/,pop>=50k
FL,Florida,city,Core,Kendall,80241,25.67927,-80.31727,/{segment}/fl/kendall/,pop>=50k
FL,Florida,city,Core,Deerfield Beach,79768,26.31841,-80.09977,/{segment}/fl/deerfield-beach/,pop>=50k
FL,Florida,city,Core,Town 'n' Country,78442,28.01057,-82.57732,/{segment}/fl/town-n-country/,pop>=50k
FL,Florida,city,Core,Alafaya,78113,28.5641,-81.2114,/{segment}/fl/alafaya/,pop>=50k
FL,Florida,city,Core,Doral,75874,25.81954,-80.35533,/{segment}/fl/doral/,pop>=50k
FL,Florida,city,Core,Fort Myers,74013,26.62168,-81.84059,/{segment}/fl/fort-myers/,pop>=50k
FL,Florida,city,Core,Boynton Beach,73966,26.52535,-80.06643,/{segment}/fl/boynton-beach/,pop>=50k
FL,Florida,city,Core,Daytona Beach,72647,29.21081,-81.02283,/{segment}/fl/daytona-beach/,pop>=50k
FL,Florida,city,Core,Lauderhill,71579,26.14036,-80.21338,/{segment}/fl/lauderhill/,pop>=50k
FL,Florida,city,Core,Riverview,71050,27.86614,-82.32648,/{segment}/fl/riverview/,pop>=50k
FL,Florida,city,Core,Weston,69959,26.10037,-80.39977,/{segment}/fl/weston/,pop>=50k
FL,Florida,city,Core,Kissimmee,69152,28.30468,-81.41667,/{segment}/fl/kissimmee/,pop>=50k
FL,Florida,city,Core,Delray Beach,66255,26.46146,-80.07282,/{segment}/fl/delray-beach/,pop>=50k
FL,Florida,city,Core,Tamarac,64681,26.21286,-80.24977,/{segment}/fl/tamarac/,pop>=50k
FL,Florida,city,Core,Carol City,63031,25.94065,-80.2456,/{segment}/fl/carol-city/,pop>=50k
FL,Florida,city,Core,Jupiter,62707,26.93422,-80.09421,/{segment}/fl/jupiter/,pop>=50k
FL,Florida,city,Core,Wellington,62560,26.65868,-80.24144,/{segment}/fl/wellington/,pop>=50k
FL,Florida,city,Core,North Miami,62435,25.89009,-80.18671,/{segment}/fl/north-miami/,pop>=50k
FL,Florida,city,Core,North Port,62345,27.04422,-82.23593,/{segment}/fl/north-port/,pop>=50k
FL,Florida,city,Core,West Hollywood,60806,26.02065,-80.18394,/{segment}/fl/west-hollywood/,pop>=50k
FL,Florida,city,Core,Pine Hills,60076,28.55778,-81.4534,/{segment}/fl/pine-hills/,pop>=50k
FL,Florida,city,Core,Port Orange,59866,29.13832,-80.99561,/{segment}/fl/port-orange/,pop>=50k
FL,Florida,city,Core,Fountainebleau,59764,25.77288,-80.34783,/{segment}/fl/fountainebleau/,pop>=50k
FL,Florida,city,Core,Coconut Creek,59302,26.25175,-80.17894,/{segment}/fl/coconut-creek/,pop>=50k
FL,Florida,city,Core,Ocala,58218,29.1872,-82.14009,/{segment}/fl/ocala/,pop>=50k
FL,Florida,city,Core,Sanford,58111,28.80055,-81.27312,/{segment}/fl/sanford/,pop>=50k
FL,Florida,city,Core,Palm Harbor,57439,28.07807,-82.76371,/{segment}/fl/palm-harbor/,pop>=50k
FL,Florida,city,Core,Margate,57234,26.24453,-80.20644,/{segment}/fl/margate/,pop>=50k
FL,Florida,city,Core,Kendale Lakes,56148,25.70816,-80.407,/{segment}/fl/kendale-lakes/,pop>=50k
FL,Florida,city,Core,Tamiami,55271,25.75871,-80.39839,/{segment}/fl/tamiami/,pop>=50k
FL,Florida,city,Core,Sarasota,55118,27.33643,-82.53065,/{segment}/fl/sarasota/,pop>=50k
FL,Florida,city,Core,Bradenton,54437,27.49893,-82.57482,/{segment}/fl/bradenton/,pop>=50k
FL,Florida,city,Core,Port Charlotte,54392,26.97617,-82.09064,/{segment}/fl/port-charlotte/,pop>=50k
FL,Florida,city,Core,Allapattah,54289,25.81454,-80.22394,/{segment}/fl/allapattah/,pop>=50k
FL,Florida,city,Core,East Pensacola Heights,54104,30.42881,-87.17997,/{segment}/fl/east-pensacola-heights/,pop>=50k
FL,Florida,city,Core,Pensacola,53724,30.42131,-87.21691,/{segment}/fl/pensacola/,pop>=50k
FL,Florida,city,Core,Little Havana,53430,25.76806,-80.23306,/{segment}/fl/little-havana/,pop>=50k
FL,Florida,city,Core,Poinciana,53193,28.14029,-81.45841,/{segment}/fl/poinciana/,pop>=50k
FL,Florida,city,Core,Palm Beach Gardens,52923,26.82339,-80.13865,/{segment}/fl/palm-beach-gardens/,pop>=50k
FL,Florida,city,Core,Bonita Springs,51704,26.33981,-81.7787,/{segment}/fl/bonita-springs/,pop>=50k
FL,Florida,city,Core,Pinellas Park,51617,27.8428,-82.69954,/{segment}/fl/pinellas-park/,pop>=50k
FL,Florida,city,Core,The Villages,51442,28.93408,-81.95994,/{segment}/fl/the-villages/,pop>=50k
FL,Florida,city,Core,Coral Gables,51117,25.72149,-80.26838,/{segment}/fl/coral-gables/,pop>=50k
FL,Florida,city,Core,The Hammocks,51003,25.67149,-80.4445,/{segment}/fl/the-hammocks/,pop>=50k
FL,Florida,city,Core,Flagami,50834,25.76232,-80.31616,/{segment}/fl/flagami/,pop>=50k
FL,Florida,city,Extended,Apopka,48382,28.67617,-81.51186,/{segment}/fl/apopka/,tier1-corridor-state
FL,Florida,city,Extended,Country Club,47105,25.94815,-80.317,/{segment}/fl/country-club/,tier1-corridor-state
FL,Florida,city,Extended,Cutler Bay,45425,25.5783,-80.3377,/{segment}/fl/cutler-bay/,tier1-corridor-state
FL,Florida,city,Extended,Titusville,45393,28.61222,-80.80755,/{segment}/fl/titusville/,tier1-corridor-state
FL,Florida,city,Extended,Fort Pierce,44484,27.44671,-80.32561,/{segment}/fl/fort-pierce/,tier1-corridor-state
FL,Florida,city,Extended,Oakland Park,44319,26.17231,-80.13199,/{segment}/fl/oakland-park/,tier1-corridor-state
FL,Florida,city,Extended,Wesley Chapel,44092,28.23973,-82.32787,/{segment}/fl/wesley-chapel/,tier1-corridor-state
FL,Florida,city,Extended,North Miami Beach,43971,25.93315,-80.16255,/{segment}/fl/north-miami-beach/,tier1-corridor-state
FL,Florida,city,Extended,North Lauderdale,43703,26.2173,-80.22588,/{segment}/fl/north-lauderdale/,tier1-corridor-state
FL,Florida,city,Extended,Ocoee,43608,28.56917,-81.54396,/{segment}/fl/ocoee/,tier1-corridor-state
FL,Florida,city,Extended,Altamonte Springs,43159,28.66111,-81.36562,/{segment}/fl/altamonte-springs/,tier1-corridor-state
FL,Florida,city,Extended,University,41163,28.07389,-82.43902,/{segment}/fl/university/,tier1-corridor-state
FL,Florida,city,Extended,Ormond Beach,40970,29.28581,-81.05589,/{segment}/fl/ormond-beach/,tier1-corridor-state
FL,Florida,city,Extended,Carrollwood Village,40949,28.06752,-82.52093,/{segment}/fl/carrollwood-village/,tier1-corridor-state
FL,Florida,city,Extended,Winter Garden,40356,28.56528,-81.58618,/{segment}/fl/winter-garden/,tier1-corridor-state
FL,Florida,city,Extended,St. Johns,40000,30.0815,-81.54774,/{segment}/fl/st-johns/,tier1-corridor-state
FL,Florida,city,Extended,Hallandale Beach,39488,25.9812,-80.14838,/{segment}/fl/hallandale-beach/,tier1-corridor-state
FL,Florida,city,Extended,North Fort Myers,39407,26.66729,-81.88009,/{segment}/fl/north-fort-myers/,tier1-corridor-state
FL,Florida,city,Extended,Princeton,39308,25.53844,-80.40894,/{segment}/fl/princeton/,tier1-corridor-state
FL,Florida,city,Extended,The Acreage,38704,26.79404,-80.26749,/{segment}/fl/the-acreage/,tier1-corridor-state
FL,Florida,city,Extended,Oviedo,38551,28.67,-81.20812,/{segment}/fl/oviedo/,tier1-corridor-state
FL,Florida,city,Extended,Panama City,38286,30.15946,-85.65983,/{segment}/fl/panama-city/,tier1-corridor-state
FL,Florida,city,Extended,Winter Haven,37689,28.02224,-81.73286,/{segment}/fl/winter-haven/,tier1-corridor-state
FL,Florida,city,Extended,Aventura,37649,25.95648,-80.13921,/{segment}/fl/aventura/,tier1-corridor-state
FL,Florida,city,Extended,Royal Palm Beach,37633,26.7084,-80.2306,/{segment}/fl/royal-palm-beach/,tier1-corridor-state
FL,Florida,city,Extended,Lake Worth Beach,37498,26.61708,-80.07231,/{segment}/fl/lake-worth-beach/,tier1-corridor-state
FL,Florida,city,Extended,Plant City,37406,28.01888,-82.11469,/{segment}/fl/plant-city/,tier1-corridor-state
FL,Florida,city,Extended,South Miami Heights,36770,25.59761,-80.38061,/{segment}/fl/south-miami-heights/,tier1-corridor-state
FL,Florida,city,Extended,Dunedin,36164,28.0199,-82.77323,/{segment}/fl/dunedin/,tier1-corridor-state
FL,Florida,city,Extended,Kendall West,36154,25.7065,-80.4388,/{segment}/fl/kendall-west/,tier1-corridor-state
FL,Florida,city,Extended,Richmond West,35884,25.6105,-80.42971,/{segment}/fl/richmond-west/,tier1-corridor-state
FL,Florida,city,Extended,Valrico,35545,27.93789,-82.23644,/{segment}/fl/valrico/,tier1-corridor-state
FL,Florida,city,Extended,Ponte Vedra Beach,35400,30.23969,-81.38564,/{segment}/fl/ponte-vedra-beach/,tier1-corridor-state
FL,Florida,city,Extended,Cooper City,35364,26.05731,-80.27172,/{segment}/fl/cooper-city/,tier1-corridor-state
FL,Florida,city,Extended,Egypt Lake-Leto,35282,28.01769,-82.50619,/{segment}/fl/egypt-lake-leto/,tier1-corridor-state
FL,Florida,city,Extended,Saint Cloud,35183,28.2489,-81.28118,/{segment}/fl/saint-cloud/,tier1-corridor-state
FL,Florida,city,Extended,Lauderdale Lakes,34796,26.16647,-80.20838,/{segment}/fl/lauderdale-lakes/,tier1-corridor-state
FL,Florida,city,Extended,Winter Springs,34789,28.69889,-81.30812,/{segment}/fl/winter-springs/,tier1-corridor-state
FL,Florida,city,Extended,Merritt Island,34743,28.359,-80.69,/{segment}/fl/merritt-island/,tier1-corridor-state
FL,Florida,city,Extended,West Little River,34699,25.85704,-80.23699,/{segment}/fl/west-little-river/,tier1-corridor-state
FL,Florida,city,Extended,Riviera Beach,34005,26.77534,-80.0581,/{segment}/fl/riviera-beach/,tier1-corridor-state
FL,Florida,city,Extended,Carrollwood,33365,28.05002,-82.49287,/{segment}/fl/carrollwood/,tier1-corridor-state
FL,Florida,city,Extended,Golden Glades,33145,25.91176,-80.20033,/{segment}/fl/golden-glades/,tier1-corridor-state
FL,Florida,city,Extended,Greenacres City,32963,26.62368,-80.12532,/{segment}/fl/greenacres-city/,tier1-corridor-state
FL,Florida,city,Extended,Santa Rosa Beach,32459,30.39603,-86.22883,/{segment}/fl/santa-rosa-beach/,tier1-corridor-state
FL,Florida,city,Extended,Clermont,32390,28.54944,-81.77285,/{segment}/fl/clermont/,tier1-corridor-state
FL,Florida,city,Extended,Land O' Lakes,31996,28.2189,-82.45759,/{segment}/fl/land-o-lakes/,tier1-corridor-state
FL,Florida,city,Extended,Dania Beach,31446,26.05231,-80.14393,/{segment}/fl/dania-beach/,tier1-corridor-state
FL,Florida,city,Extended,Navarre,31378,30.40159,-86.86357,/{segment}/fl/navarre/,tier1-corridor-state
FL,Florida,city,Extended,Miami Lakes,30972,25.90871,-80.30866,/{segment}/fl/miami-lakes/,tier1-corridor-state
FL,Florida,city,Extended,East Lake,30962,28.11085,-82.69482,/{segment}/fl/east-lake/,tier1-corridor-state
FL,Florida,city,Extended,Lakeside,30943,30.12996,-81.76815,/{segment}/fl/lakeside/,tier1-corridor-state
FL,Florida,city,Extended,Estero,30799,26.43814,-81.80675,/{segment}/fl/estero/,tier1-corridor-state
FL,Florida,city,Extended,DeLand,30195,29.02832,-81.30312,/{segment}/fl/deland/,tier1-corridor-state
FL,Florida,city,Extended,Parkland,30177,26.31008,-80.23727,/{segment}/fl/parkland/,tier1-corridor-state
FL,Florida,city,Extended,Winter Park,29943,28.6,-81.33924,/{segment}/fl/winter-park/,tier1-corridor-state
FL,Florida,city,Extended,Westchester,29862,25.75482,-80.32727,/{segment}/fl/westchester/,tier1-corridor-state
FL,Florida,city,Extended,Fruit Cove,29362,30.11107,-81.64176,/{segment}/fl/fruit-cove/,tier1-corridor-state
FL,Florida,city,Extended,Ferry Pass,28921,30.5102,-87.21247,/{segment}/fl/ferry-pass/,tier1-corridor-state
FL,Florida,city,Extended,Lake Magdalene,28509,28.07418,-82.47176,/{segment}/fl/lake-magdalene/,tier1-corridor-state
FL,Florida,city,Extended,Fleming Island,27126,30.0933,-81.71898,/{segment}/fl/fleming-island/,tier1-corridor-state
FL,Florida,city,Extended,Casselberry,27056,28.67778,-81.32785,/{segment}/fl/casselberry/,tier1-corridor-state
FL,Florida,city,Extended,University Park,26995,25.74649,-80.36755,/{segment}/fl/university-park/,tier1-corridor-state
FL,Florida,city,Extended,Cutler Ridge,26831,25.58066,-80.34672,/{segment}/fl/cutler-ridge/,tier1-corridor-state
FL,Florida,city,Extended,Cantonment,26493,30.60853,-87.33998,/{segment}/fl/cantonment/,tier1-corridor-state
FL,Florida,city,Extended,Leisure City,26324,25.49539,-80.42922,/{segment}/fl/leisure-city/,tier1-corridor-state
FL,Florida,city,Extended,Four Corners,26116,28.33287,-81.64738,/{segment}/fl/four-corners/,tier1-corridor-state
FL,Florida,city,Extended,Buenaventura Lakes,26079,28.33584,-81.35313,/{segment}/fl/buenaventura-lakes/,tier1-corridor-state
FL,Florida,city,Extended,Key West,25755,24.55524,-81.78163,/{segment}/fl/key-west/,tier1-corridor-state
FL,Florida,city,Extended,Temple Terrace,25731,28.0353,-82.38926,/{segment}/fl/temple-terrace/,tier1-corridor-state
FL,Florida,city,Extended,Meadow Woods,25558,28.38556,-81.36646,/{segment}/fl/meadow-woods/,tier1-corridor-state
FL,Florida,city,Extended,Rockledge,24926,28.35084,-80.72533,/{segment}/fl/rockledge/,tier1-corridor-state
FL,Florida,corridor,Core,I-10 (Florida),,,,/{segment}/corridors/i-10/fl/,tier1-freight-corridor; full-exit-coverage
FL,Florida,corridor,Extended,I-4 (Florida),,,,/{segment}/corridors/i-4/fl/,tier2-freight-corridor; route-page-only
FL,Florida,corridor,Core,I-75 (Florida),,,,/{segment}/corridors/i-75/fl/,tier1-freight-corridor; full-exit-coverage
FL,Florida,corridor,Core,I-95 (Florida),,,,/{segment}/corridors/i-95/fl/,tier1-freight-corridor; full-exit-coverage
GA,Georgia,city,Core,Atlanta,510823,33.749,-84.38798,/{segment}/ga/atlanta/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Columbus,206922,32.46098,-84.98771,/{segment}/ga/columbus/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Savannah,147780,32.08354,-81.09983,/{segment}/ga/savannah/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Athens,127315,33.96095,-83.37794,/{segment}/ga/athens/,pop>=50k;top10-in-state
GA,Georgia,city,Core,South Fulton,107436,33.59259,-84.67294,/{segment}/ga/south-fulton/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Sandy Springs,105330,33.92427,-84.37854,/{segment}/ga/sandy-springs/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Roswell,94501,34.02316,-84.36159,/{segment}/ga/roswell/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Macon,91351,32.84069,-83.6324,/{segment}/ga/macon/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Johns Creek,83335,34.02893,-84.19858,/{segment}/ga/johns-creek/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Albany,74843,31.57851,-84.15574,/{segment}/ga/albany/,pop>=50k;top10-in-state
GA,Georgia,city,Core,Warner Robins,73490,32.61574,-83.62664,/{segment}/ga/warner-robins/,pop>=50k
GA,Georgia,city,Core,Alpharetta,63693,34.07538,-84.29409,/{segment}/ga/alpharetta/,pop>=50k
GA,Georgia,city,Core,Marietta,59067,33.9526,-84.54993,/{segment}/ga/marietta/,pop>=50k
GA,Georgia,city,Core,Smyrna,56146,33.88399,-84.51438,/{segment}/ga/smyrna/,pop>=50k
GA,Georgia,city,Core,Valdosta,55724,30.83334,-83.28032,/{segment}/ga/valdosta/,pop>=50k
GA,Georgia,city,Core,Brookhaven,51910,33.85844,-84.3402,/{segment}/ga/brookhaven/,pop>=50k
GA,Georgia,city,Core,Stonecrest,50000,33.70849,-84.13485,/{segment}/ga/stonecrest/,pop>=50k
GA,Georgia,city,Extended,Dunwoody,48733,33.94621,-84.33465,/{segment}/ga/dunwoody/,tier1-corridor-state
GA,Georgia,city,Extended,Augusta,43459,33.47097,-81.97484,/{segment}/ga/augusta/,tier1-corridor-state
GA,Georgia,city,Extended,Peachtree Corners,40978,33.9701,-84.22159,/{segment}/ga/peachtree-corners/,tier1-corridor-state
GA,Georgia,city,Extended,Gainesville,38712,34.29788,-83.82407,/{segment}/ga/gainesville/,tier1-corridor-state
GA,Georgia,city,Extended,Milton,37547,34.13216,-84.30067,/{segment}/ga/milton/,tier1-corridor-state
GA,Georgia,city,Extended,Newnan,37291,33.38067,-84.79966,/{segment}/ga/newnan/,tier1-corridor-state
GA,Georgia,city,Extended,Mableton,37115,33.81872,-84.58243,/{segment}/ga/mableton/,tier1-corridor-state
GA,Georgia,city,Extended,Rome,36323,34.25704,-85.16467,/{segment}/ga/rome/,tier1-corridor-state
GA,Georgia,city,Extended,Martinez,35795,33.51736,-82.07567,/{segment}/ga/martinez/,tier1-corridor-state
GA,Georgia,city,Extended,East Point,35467,33.67955,-84.43937,/{segment}/ga/east-point/,tier1-corridor-state
GA,Georgia,city,Extended,Peachtree City,35240,33.39678,-84.59576,/{segment}/ga/peachtree-city/,tier1-corridor-state
GA,Georgia,city,Extended,Dalton,33853,34.7698,-84.97022,/{segment}/ga/dalton/,tier1-corridor-state
GA,Georgia,city,Extended,Kennesaw,33584,34.02343,-84.61549,/{segment}/ga/kennesaw/,tier1-corridor-state
GA,Georgia,city,Extended,Hinesville,33398,31.84688,-81.59595,/{segment}/ga/hinesville/,tier1-corridor-state
GA,Georgia,city,Extended,Redan,33015,33.74538,-84.13158,/{segment}/ga/redan/,tier1-corridor-state
GA,Georgia,city,Extended,Douglasville,32897,33.7515,-84.74771,/{segment}/ga/douglasville/,tier1-corridor-state
GA,Georgia,city,Extended,Statesboro,30721,32.44879,-81.78317,/{segment}/ga/statesboro/,tier1-corridor-state
GA,Georgia,city,Extended,Lawrenceville,30493,33.95621,-83.98796,/{segment}/ga/lawrenceville/,tier1-corridor-state
GA,Georgia,city,Extended,Woodstock,29898,34.10149,-84.51938,/{segment}/ga/woodstock/,tier1-corridor-state
GA,Georgia,city,Extended,LaGrange,29588,33.03929,-85.03133,/{segment}/ga/lagrange/,tier1-corridor-state
GA,Georgia,city,Extended,Duluth,29193,34.00288,-84.14464,/{segment}/ga/duluth/,tier1-corridor-state
GA,Georgia,city,Extended,Evans,29011,33.53375,-82.13067,/{segment}/ga/evans/,tier1-corridor-state
GA,Georgia,city,Extended,Chamblee,28244,33.89205,-84.29881,/{segment}/ga/chamblee/,tier1-corridor-state
GA,Georgia,city,Extended,Stockbridge,28202,33.54428,-84.23381,/{segment}/ga/stockbridge/,tier1-corridor-state
GA,Georgia,city,Extended,Tucker,27581,33.85455,-84.21714,/{segment}/ga/tucker/,tier1-corridor-state
GA,Georgia,city,Extended,Carrollton,26203,33.58011,-85.07661,/{segment}/ga/carrollton/,tier1-corridor-state
