state,state_name,page_type,tier,name,population,latitude,longitude,url_slug,include_reason
AL,Alabama,corridor,Core,I-20 (Alabama),,,,/{segment}/corridors/i-20/al/,tier1-freight-corridor; full-exit-coverage
AL,Alabama,corridor,Extended,I-59 (Alabama),,,,/{segment}/corridors/i-59/al/,tier2-freight-corridor; route-page-only
AL,Alabama,corridor,Extended,I-65 (Alabama),,,,/{segment}/corridors/i-65/al/,tier2-freight-corridor; route-page-only
AL,Alabama,corridor,Core,I-85 (Alabama),,,,/{segment}/corridors/i-85/al/,tier1-freight-corridor; full-exit-coverage
AR,Arkansas,city,Core,Little Rock,202591,34.74648,-92.28959,/{segment}/ar/little-rock/,pop>=50k;top10-in-state
AR,Arkansas,city,Core,Fort Smith,88194,35.38592,-94.39855,/{segment}/ar/fort-smith/,pop>=50k;top10-in-state
AR,Arkansas,city,Core,Fayetteville,82830,36.06258,-94.15743,/{segment}/ar/fayetteville/,pop>=50k;top10-in-state
AR,Arkansas,city,Core,Springdale,77859,36.18674,-94.12881,/{segment}/ar/springdale/,pop>=50k;top10-in-state
AR,Arkansas,city,Core,Jonesboro,73907,35.8423,-90.70428,/{segment}/ar/jonesboro/,pop>=50k;top10-in-state
AR,Arkansas,city,Core,North Little Rock,66504,34.76954,-92.26709,/{segment}/ar/north-little-rock/,pop>=50k;top10-in-state
AR,Arkansas,city,Core,Conway,64980,35.0887,-92.4421,/{segment}/ar/conway/,pop>=50k;top10-in-state
AR,Arkansas,city,Core,Rogers,63159,36.33202,-94.11854,/{segment}/ar/rogers/,pop>=50k;top10-in-state
AR,Arkansas,city,Extended,Pine Bluff,44772,34.22843,-92.0032,/{segment}/ar/pine-bluff/,top10-in-state
AR,Arkansas,city,Extended,Bentonville,44499,36.37285,-94.20882,/{segment}/ar/bentonville/,top10-in-state
AR,Arkansas,city,Extended,Hot Springs,35635,34.5037,-93.05518,/{segment}/ar/hot-springs/,tier1-corridor-state
AR,Arkansas,city,Extended,Benton,34177,34.56454,-92.58683,/{segment}/ar/benton/,tier1-corridor-state
AR,Arkansas,city,Extended,Sherwood,30517,34.81509,-92.22432,/{segment}/ar/sherwood/,tier1-corridor-state
AR,Arkansas,city,Extended,Texarkana,30353,33.44179,-94.03769,/{segment}/ar/texarkana/,tier1-corridor-state
AR,Arkansas,city,Extended,Russellville,29166,35.27842,-93.13379,/{segment}/ar/russellville/,tier1-corridor-state
AR,Arkansas,city,Extended,Jacksonville,28643,34.8662,-92.11015,/{segment}/ar/jacksonville/,tier1-corridor-state
AR,Arkansas,city,Extended,Bella Vista,27999,36.4807,-94.27134,/{segment}/ar/bella-vista/,tier1-corridor-state
AR,Arkansas,city,Extended,Paragould,27900,36.0584,-90.49733,/{segment}/ar/paragould/,tier1-corridor-state
AR,Arkansas,city,Extended,Cabot,25587,34.97453,-92.01653,/{segment}/ar/cabot/,tier1-corridor-state
AR,Arkansas,city,Extended,West Memphis,25052,35.14648,-90.18454,/{segment}/ar/west-memphis/,tier1-corridor-state
AR,Arkansas,corridor,Extended,I-30 (Arkansas),,,,/{segment}/corridors/i-30/ar/,tier2-freight-corridor; route-page-only
AR,Arkansas,corridor,Core,I-40 (Arkansas),,,,/{segment}/corridors/i-40/ar/,tier1-freight-corridor; full-exit-coverage
AR,Arkansas,corridor,Extended,I-49 (Arkansas),,,,/{segment}/corridors/i-49/ar/,tier2-freight-corridor; route-page-only
AR,Arkansas,corridor,Extended,I-55 (Arkansas),,,,/{segment}/corridors/i-55/ar/,tier2-freight-corridor; route-page-only
AZ,Arizona,city,Core,Phoenix,1650070,33.44838,-112.07404,/{segment}/az/phoenix/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Tucson,542629,32.22174,-110.92648,/{segment}/az/tucson/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Mesa,471825,33.42227,-111.82264,/{segment}/az/mesa/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Chandler,260828,33.30616,-111.84125,/{segment}/az/chandler/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Gilbert,247542,33.35283,-111.78903,/{segment}/az/gilbert/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Glendale,240126,33.53865,-112.18599,/{segment}/az/glendale/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Scottsdale,236839,33.50921,-111.89903,/{segment}/az/scottsdale/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Maryvale,208189,33.50199,-112.17765,/{segment}/az/maryvale/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Peoria,190985,33.5806,-112.23738,/{segment}/az/peoria/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Tempe,175826,33.41477,-111.90931,/{segment}/az/tempe/,pop>=50k;top10-in-state
AZ,Arizona,city,Core,Deer Valley,165656,33.68393,-112.13488,/{segment}/az/deer-valley/,pop>=50k
AZ,Arizona,city,Core,Tempe Junction,158368,33.41421,-111.94348,/{segment}/az/tempe-junction/,pop>=50k
AZ,Arizona,city,Core,Surprise,143148,33.63059,-112.33322,/{segment}/az/surprise/,pop>=50k
AZ,Arizona,city,Core,Alhambra,127764,33.49838,-112.13432,/{segment}/az/alhambra/,pop>=50k
AZ,Arizona,city,Core,Yuma,95548,32.72532,-114.6244,/{segment}/az/yuma/,pop>=50k
AZ,Arizona,city,Core,Ahwatukee Foothills,83464,33.34171,-111.98403,/{segment}/az/ahwatukee-foothills/,pop>=50k
AZ,Arizona,city,Core,San Tan Valley,81321,33.1911,-111.528,/{segment}/az/san-tan-valley/,pop>=50k
AZ,Arizona,city,Core,Avondale,80684,33.4356,-112.3496,/{segment}/az/avondale/,pop>=50k
AZ,Arizona,city,Core,Goodyear,79003,33.43532,-112.35821,/{segment}/az/goodyear/,pop>=50k
AZ,Arizona,city,Core,Flagstaff,70320,35.19807,-111.65127,/{segment}/az/flagstaff/,pop>=50k
AZ,Arizona,city,Core,Casas Adobes,66795,32.32341,-110.9951,/{segment}/az/casas-adobes/,pop>=50k
AZ,Arizona,city,Core,Central City,58161,33.44001,-112.05805,/{segment}/az/central-city/,pop>=50k
AZ,Arizona,city,Core,Encanto,54614,33.47937,-112.07823,/{segment}/az/encanto/,pop>=50k
AZ,Arizona,city,Core,Lake Havasu City,53553,34.4839,-114.32245,/{segment}/az/lake-havasu-city/,pop>=50k
AZ,Arizona,city,Core,Casa Grande,51460,32.8795,-111.75735,/{segment}/az/casa-grande/,pop>=50k
AZ,Arizona,city,Core,Buckeye,50876,33.37032,-112.58378,/{segment}/az/buckeye/,pop>=50k
AZ,Arizona,city,Core,Catalina Foothills,50796,32.29785,-110.9187,/{segment}/az/catalina-foothills/,pop>=50k
AZ,Arizona,city,Extended,Maricopa,48602,33.05811,-112.04764,/{segment}/az/maricopa/,tier1-corridor-state
AZ,Arizona,city,Extended,Oro Valley,45303,32.39091,-110.96649,/{segment}/az/oro-valley/,tier1-corridor-state
AZ,Arizona,city,Extended,Sierra Vista,43355,31.55454,-110.30369,/{segment}/az/sierra-vista/,tier1-corridor-state
AZ,Arizona,city,Extended,Prescott Valley,42197,34.61002,-112.31572,/{segment}/az/prescott-valley/,tier1-corridor-state
AZ,Arizona,city,Extended,Prescott,41899,34.54002,-112.4685,/{segment}/az/prescott/,tier1-corridor-state
AZ,Arizona,city,Extended,Marana,41315,32.43674,-111.22538,/{segment}/az/marana/,tier1-corridor-state
AZ,Arizona,city,Extended,Bullhead City,39445,35.14778,-114.5683,/{segment}/az/bullhead-city/,tier1-corridor-state
AZ,Arizona,city,Extended,Apache Junction,38074,33.41505,-111.54958,/{segment}/az/apache-junction/,tier1-corridor-state
AZ,Arizona,city,Extended,Sun City,37499,33.59754,-112.27182,/{segment}/az/sun-city/,tier1-corridor-state
AZ,Arizona,city,Extended,Queen Creek,34614,33.24866,-111.6343,/{segment}/az/queen-creek/,tier1-corridor-state
AZ,Arizona,city,Extended,El Mirage,33935,33.61309,-112.3246,/{segment}/az/el-mirage/,tier1-corridor-state
AZ,Arizona,city,Extended,San Luis,31520,32.487,-114.78218,/{segment}/az/san-luis/,tier1-corridor-state
AZ,Arizona,city,Extended,Florence,31110,33.03145,-111.38734,/{segment}/az/florence/,tier1-corridor-state
